id_ele	id	fk_clase	id_tipo_obj	0	angulo	escala	color	id_sig	x	y	fec_inc_desde	fec_inc_hasta	rn	geo
8141974	8141974	220	11	0	null	null	0	0	5642871.303317	6165994.865765	2007-01-01 23:59:59	2007-04-25 14:31:40	20	5642871.303317,6165994.865765,5642908.237489,6165998.186123,5642994.882098,6165892.488276
8141975	8141975	220	11	0	null	null	0	0	5642235.134688	6166700.967227	2007-01-01 23:59:59	2009-02-19 16:30:42	23	5642235.134688,6166700.967227,5642198.713606,6166666.028875,5642159.366995,6166629.018017,5642106.139628,6166579.043093,5642075.585916,6166551.319097
8143935	8143935	52	11	0	null	null	0	0	5638128.778753	6168208.969872	2007-01-01 23:59:59	2009-03-17 10:46:40	28	5638128.778753,6168208.969872,5638143.132701,6168194.735211
8143936	8143936	52	11	0	null	null	0	0	5638122.779841	6168214.898614	2007-01-01 23:59:59	2009-03-17 10:46:40	30	5638122.779841,6168214.898614
